epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.345,1.31216,3.4228,1.1948,0.44727,0.66885,0.44487,0.29057,1.18784,2.79762,1.091,0.000553186,0.000553186,0.000553186
2,305.592,1.23901,2.45825,1.17256,0.46839,0.66301,0.46846,0.31821,1.1633,2.39108,1.12367,0.000999076,0.000999076,0.000999076
3,406.184,1.23092,2.03199,1.17148,0.46559,0.67138,0.45221,0.29277,1.25277,1.93955,1.15894,0.00133494,0.00133494,0.00133494
4,506.087,1.19183,1.77541,1.16908,0.44873,0.7945,0.47876,0.31899,1.21243,1.72247,1.13817,0.0011719,0.0011719,0.0011719
5,606.086,1.16442,1.62177,1.13806,0.44436,0.7447,0.49736,0.34633,1.10926,1.62069,1.08536,0.00100687,0.00100687,0.00100687
6,707.307,1.05781,1.46826,1.10257,0.43885,0.7522,0.47944,0.33685,1.07355,1.54626,1.09484,0.000841835,0.000841835,0.000841835
7,807.624,1.03312,1.37401,1.08622,0.44958,0.82964,0.51548,0.36756,1.0105,1.33184,1.02946,0.000676802,0.000676802,0.000676802
8,909.01,0.99645,1.28123,1.066,0.46432,0.8059,0.49332,0.35464,0.99747,1.32644,1.03062,0.000511769,0.000511769,0.000511769
9,1010.72,0.9528,1.22552,1.03825,0.4419,0.83938,0.49804,0.35894,0.98191,1.28035,1.02231,0.000346736,0.000346736,0.000346736
10,1111.16,0.92843,1.19309,1.02216,0.45665,0.80266,0.5191,0.382,0.93502,1.23302,0.99294,0.000181703,0.000181703,0.000181703
